rebounds,netPoints,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,goal_from_zone2,goal_from_zone1,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,attempt_from_zone2,centrePassReceives,obstructionPenalties,attempt_from_zone1,feeds,attempt2,attempt1,playerId,goals,offsides,badPasses,goal2,goal1,breaks,blocks,badHands,missedGoalTurnover,squadId,deflectionPossessionGain,possessionChanges,startingPositionCode,goalAttempts,deflections,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,shortDisplayName,firstname,surname,displayName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
2,110.5,0,4,1,3,1,54,0,1,56,0,0,1,1,0,1,0,4,54,4,1,54,80826,55,0,1,1,54,0,0,2,0,810,1,3,GS,55,2,0,4,60,1,3,1,GS,0,0,"Fowler, J",Jhaniele,Fowler,J.Fowler,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
0,87.0,0,5,1,4,4,4,0,2,12,3,0,0,19,0,5,24,2,6,26,5,6,994215,8,1,1,4,4,0,0,0,0,810,0,4,GA,11,1,3,3,41,19,4,3,GA,0,2,"Teague-Neeld, A",Alice,Teague-Neeld,A.Teague-Neeld,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
0,82.0,0,7,0,1,0,0,0,0,0,0,0,0,23,0,0,19,1,0,39,0,0,80473,0,0,1,0,0,0,0,0,0,810,0,1,WA,0,0,6,4,60,24,1,2,C,0,0,"Charles, V",Verity,Charles,V.Charles,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
0,37.5,0,6,3,4,0,0,1,0,0,0,0,0,8,0,0,1,1,0,10,0,0,998408,0,0,1,0,0,0,0,0,0,810,0,4,C,0,3,5,4,60,9,2,2,WD,0,0,"Anstiss, J",Jess,Anstiss,J.Anstiss,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
0,5.5,0,13,0,2,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,80534,0,0,1,0,0,1,0,0,0,810,1,2,WD,0,1,12,4,60,0,2,2,GD,0,0,"Francis-Bayman, S",Stacey,Francis-Bayman,S.Francis-Bayman,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
0,-1.5,0,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1014130,0,0,0,0,0,1,0,2,0,810,1,2,GD,0,2,1,3,35,0,2,1,-,0,0,"Aryang, S",Sunday,Aryang,S.Aryang,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
1,47.0,0,13,3,1,0,0,1,4,0,0,0,1,0,0,0,0,3,0,1,0,0,80343,0,0,0,0,0,0,1,0,0,810,1,1,GK,0,4,10,4,60,0,0,2,GK,0,2,"Bruce, C",Courtney,Bruce,C.Bruce,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
0,9.0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,0,3,1,0,9,0,0,1000231,0,0,0,0,0,0,0,0,0,810,0,1,-,0,0,1,1,15,7,0,0,WA,0,0,"Cosh, E",Emma,Cosh,E.Cosh,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
1,9.5,0,0,0,2,1,3,0,0,5,1,0,0,4,0,1,8,0,4,5,1,4,1007298,4,0,0,1,3,1,0,0,0,810,0,2,-,5,0,0,2,18,4,2,0,-,0,0,"Glasgow, S",Sasha,Glasgow,S.Glasgow,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
0,-6.5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004510,0,0,0,0,0,0,0,0,0,810,0,1,-,0,1,1,1,9,0,0,0,-,0,0,"Lewis, O",Olivia,Lewis,O.Lewis,West Coast Fever,810,8118,GIANTS Netball,14,11391,9,113911404
2,93.5,0,0,0,2,5,35,0,0,45,2,0,0,6,0,6,0,0,36,7,6,36,80150,40,0,0,5,35,0,0,1,1,8118,0,3,GS,42,0,0,4,60,7,3,3,GS,0,0,"Harten, J",Jo,Harten,J.Harten,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,58.5,0,1,0,5,3,24,2,0,30,6,0,0,13,0,6,21,1,27,15,6,27,1019169,27,0,1,3,24,0,0,0,4,8118,0,9,GA,33,0,0,4,60,13,6,2,GA,0,0,"Dwyer, S",Sophie,Dwyer,S.Dwyer,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,95.5,0,1,3,2,0,0,0,1,0,0,0,0,23,0,0,26,0,0,43,0,0,995217,0,0,0,0,0,0,0,2,0,8118,0,2,WA,0,3,1,4,60,27,2,1,WA,0,1,"Hay, M",Maddie,Hay,M.Hay,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,70.0,0,4,1,4,0,0,0,1,0,0,0,0,19,0,0,0,0,0,27,0,0,80701,0,0,1,0,0,0,0,0,0,8118,0,4,C,0,1,4,4,60,21,1,3,C,0,1,"Price, J",Jamie-Lee,Price,J.Price,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,29.5,0,10,5,1,0,0,0,2,0,0,0,1,0,0,0,4,1,0,1,0,0,1001356,0,0,0,0,0,0,0,0,0,8118,1,1,WD,0,6,9,4,60,0,0,0,WD,0,1,"Parmenter, A",Amy,Parmenter,A.Parmenter,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,-2.0,0,19,1,3,0,0,2,1,0,0,0,1,1,0,0,13,6,0,2,0,0,993358,0,0,1,0,0,1,0,0,0,8118,1,3,GD,0,2,13,4,60,1,1,1,GD,0,0,"Manu'a, K",Kristiana,Manu'a,K.Manu'a,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,5.5,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,991899,0,0,0,0,0,0,0,0,0,8118,0,0,GK,0,3,8,4,60,0,0,0,GK,0,0,"Poolman, S",Sam,Poolman,S.Poolman,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013629,0,0,0,0,0,0,0,0,0,8118,0,0,-,0,0,0,0,0,0,0,0,-,0,0,"Letherbarrow, M",Matisse,Letherbarrow,M.Letherbarrow,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80470,0,0,0,0,0,0,0,0,0,8118,0,0,-,0,0,0,0,0,0,0,0,-,0,0,"Brandley, A",April,Brandley,A.Brandley,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013638,0,0,0,0,0,0,0,0,0,8118,0,0,-,0,0,0,0,0,0,0,0,-,0,0,"McDonell, M",Matilda,McDonell,M.McDonell,GIANTS Netball,810,8118,West Coast Fever,14,11391,9,113911404
