periodSecs,awaySquadName,matchType,homeSquadId,homeSquadShortCode,homeSquadNickname,matchStatus,roundNumber,homeSquadName,awaySquadNickname,venueId,awaySquadId,venueCode,localStartTime,matchId,homeSquadScore,period,finalCode,isNetball2pt,periodCompleted,finalShortCode,awaySquadScore,venueName,utcStartTime,awaySquadCode,homeSquadCode,awaySquadShortCode,matchNumber,sportId,fixtureId
900,West Coast Fever,H,804,MVX,Vixens,complete,1,Melbourne Vixens,Fever,810,810,JCA,2021-05-01T15:00:00+10:00,113910101,51,4,,True,4,,65,John Cain Arena,2021-05-01T05:00:00Z,WCF,MVX,WCF,1,9,11391
900,Sunshine Coast Lightning,H,8119,MNC,Magpies,complete,1,Collingwood Magpies,Lightning,810,8117,JCA,2021-05-01T19:00:00+10:00,113910102,56,4,,True,4,,67,John Cain Arena,2021-05-01T09:00:00Z,SCL,MNC,SCL,2,9,11391
300,NSW Swifts,H,807,QFB,Firebirds,complete,1,Queensland Firebirds,Swifts,3145,806,NIS,2021-05-02T13:00:00+10:00,113910103,66,5,,True,5,,69,Nissan Arena,2021-05-02T03:00:00Z,NSW,QFB,NSW,3,9,11391
900,GIANTS Netball,H,801,ATB,Thunderbirds,complete,1,Adelaide Thunderbirds,GIANTS,812,8118,ETS,2021-05-02T14:30:00+09:30,113910104,52,4,,True,4,,66,Netball SA Stadium,2021-05-02T05:00:00Z,GNB,ATB,GNB,4,9,11391
900,Collingwood Magpies,H,8118,GNB,GIANTS,complete,2,GIANTS Netball,Magpies,3335,8119,KRA,2021-05-08T15:00:00+10:00,113910201,66,4,,True,4,,54,Ken Rosewall Arena,2021-05-08T05:00:00Z,MNC,GNB,MNC,1,9,11391
900,NSW Swifts,H,810,WCF,Fever,complete,2,West Coast Fever,Swifts,835,806,RAC,2021-05-08T18:00:00+08:00,113910202,63,4,,True,4,,55,RAC Arena,2021-05-08T10:00:00Z,NSW,WCF,NSW,2,9,11391
900,Sunshine Coast Lightning,H,804,MVX,Vixens,complete,2,Melbourne Vixens,Lightning,810,8117,JCA,2021-05-09T13:00:00+10:00,113910203,51,4,,True,4,,56,John Cain Arena,2021-05-09T03:00:00Z,SCL,MVX,SCL,3,9,11391
900,Adelaide Thunderbirds,H,807,QFB,Firebirds,complete,2,Queensland Firebirds,Thunderbirds,3145,801,NIS,2021-05-09T15:00:00+10:00,113910204,68,4,,True,4,,57,Nissan Arena,2021-05-09T05:00:00Z,ATB,QFB,ATB,4,9,11391
900,Adelaide Thunderbirds,H,8119,MNC,Magpies,complete,3,Collingwood Magpies,Thunderbirds,810,801,JCA,2021-05-15T15:00:00+10:00,113910301,60,4,,True,4,,56,John Cain Arena,2021-05-15T05:00:00Z,ATB,MNC,ATB,1,9,11391
900,West Coast Fever,H,8117,SCL,Lightning,complete,3,Sunshine Coast Lightning,Fever,2775,810,USC,2021-05-15T19:00:00+10:00,113910302,54,4,,True,4,,69,USC Stadium,2021-05-15T09:00:00Z,WCF,SCL,WCF,2,9,11391
900,Melbourne Vixens,H,806,NSW,Swifts,complete,3,NSW Swifts,Vixens,3335,804,KRA,2021-05-16T13:00:00+10:00,113910303,55,4,,True,4,,43,Ken Rosewall Arena,2021-05-16T03:00:00Z,MVX,NSW,MVX,3,9,11391
900,Queensland Firebirds,H,8118,GNB,GIANTS,complete,3,GIANTS Netball,Firebirds,3335,807,KRA,2021-05-16T17:00:00+10:00,113910304,67,4,,True,4,,60,Ken Rosewall Arena,2021-05-16T07:00:00Z,QFB,GNB,QFB,4,9,11391
900,Queensland Firebirds,H,8119,MNC,Magpies,complete,4,Collingwood Magpies,Firebirds,2655,807,SIL,2021-05-22T15:00:00+10:00,113910401,68,4,,True,4,,65,Silverdome,2021-05-22T05:00:00Z,QFB,MNC,QFB,1,9,11391
900,West Coast Fever,H,801,ATB,Thunderbirds,complete,4,Adelaide Thunderbirds,Fever,812,810,ETS,2021-05-22T18:30:00+09:30,113910402,62,4,,True,4,,70,Netball SA Stadium,2021-05-22T09:00:00Z,WCF,ATB,WCF,2,9,11391
900,NSW Swifts,H,8117,SCL,Lightning,complete,4,Sunshine Coast Lightning,Swifts,2775,806,USC,2021-05-23T13:00:00+10:00,113910403,58,4,,True,4,,54,USC Stadium,2021-05-23T03:00:00Z,NSW,SCL,NSW,3,9,11391
900,GIANTS Netball,H,804,MVX,Vixens,complete,4,Melbourne Vixens,GIANTS,810,8118,JCA,2021-05-23T15:00:00+10:00,113910404,54,4,,True,4,,68,John Cain Arena,2021-05-23T05:00:00Z,GNB,MVX,GNB,4,9,11391
900,Melbourne Vixens,H,807,QFB,Firebirds,complete,5,Queensland Firebirds,Vixens,3145,804,NIS,2021-05-29T15:00:00+10:00,113910501,64,4,,True,4,,66,Nissan Arena,2021-05-29T05:00:00Z,MVX,QFB,MVX,1,9,11391
900,Sunshine Coast Lightning,H,801,ATB,Thunderbirds,complete,5,Adelaide Thunderbirds,Lightning,812,8117,ETS,2021-05-30T12:30:00+09:30,113910502,58,4,,True,4,,59,Netball SA Stadium,2021-05-30T03:00:00Z,SCL,ATB,SCL,2,9,11391
900,Collingwood Magpies,H,806,NSW,Swifts,complete,5,NSW Swifts,Magpies,3335,8119,KRA,2021-05-30T15:00:00+10:00,113910503,62,4,,True,4,,53,Ken Rosewall Arena,2021-05-30T05:00:00Z,MNC,NSW,MNC,3,9,11391
900,GIANTS Netball,H,810,WCF,Fever,complete,5,West Coast Fever,GIANTS,835,8118,RAC,2021-05-31T18:00:00+08:00,113910504,66,4,,True,4,,65,RAC Arena,2021-05-31T10:00:00Z,GNB,WCF,GNB,4,9,11391
900,West Coast Fever,H,8119,MNC,Magpies,complete,6,Collingwood Magpies,Fever,3335,810,KRA,2021-06-05T15:00:00+10:00,113910601,55,4,,True,4,,78,Ken Rosewall Arena,2021-06-05T05:00:00Z,WCF,MNC,WCF,1,9,11391
900,NSW Swifts,H,8118,GNB,GIANTS,complete,6,GIANTS Netball,Swifts,3335,806,KRA,2021-06-06T13:00:00+10:00,113910603,51,4,,True,4,,63,Ken Rosewall Arena,2021-06-06T03:00:00Z,NSW,GNB,NSW,3,9,11391
900,Queensland Firebirds,H,8117,SCL,Lightning,complete,6,Sunshine Coast Lightning,Firebirds,2775,807,USC,2021-06-06T15:00:00+10:00,113910604,52,4,,True,4,,61,USC Stadium,2021-06-06T05:00:00Z,QFB,SCL,QFB,4,9,11391
900,Adelaide Thunderbirds,H,804,MVX,Vixens,complete,6,Melbourne Vixens,Thunderbirds,2775,801,USC,2021-06-06T17:45:00+10:00,113910602,48,4,,True,4,,54,USC Stadium,2021-06-06T07:45:00Z,ATB,MVX,ATB,2,9,11391
900,Sunshine Coast Lightning,H,8118,GNB,GIANTS,complete,7,GIANTS Netball,Lightning,3335,8117,KRA,2021-06-12T15:00:00+10:00,113910701,52,4,,True,4,,58,Ken Rosewall Arena,2021-06-12T05:00:00Z,SCL,GNB,SCL,1,9,11391
900,Melbourne Vixens,H,8119,MNC,Magpies,complete,7,Collingwood Magpies,Vixens,3335,804,KRA,2021-06-12T17:30:00+10:00,113910704,67,4,,True,4,,51,Ken Rosewall Arena,2021-06-12T07:30:00Z,MVX,MNC,MVX,4,9,11391
900,NSW Swifts,H,801,ATB,Thunderbirds,complete,7,Adelaide Thunderbirds,Swifts,826,806,AEC,2021-06-12T19:00:00+09:30,113910702,58,4,,True,4,,53,Adelaide Entertainment Centre,2021-06-12T09:30:00Z,NSW,ATB,NSW,2,9,11391
901,West Coast Fever,H,807,QFB,Firebirds,complete,7,Queensland Firebirds,Fever,3145,810,NIS,2021-06-13T13:00:00+10:00,113910703,69,4,,True,4,,79,Nissan Arena,2021-06-13T03:00:00Z,WCF,QFB,WCF,3,9,11391
900,Queensland Firebirds,H,806,NSW,Swifts,complete,8,NSW Swifts,Firebirds,3335,807,KRA,2021-06-19T15:00:00+10:00,113910801,64,4,,True,4,,52,Ken Rosewall Arena,2021-06-19T05:00:00Z,QFB,NSW,QFB,1,9,11391
901,Adelaide Thunderbirds,H,8118,GNB,GIANTS,complete,8,GIANTS Netball,Thunderbirds,3335,801,KRA,2021-06-20T13:00:00+10:00,113910802,57,4,,True,4,,41,Ken Rosewall Arena,2021-06-20T03:00:00Z,ATB,GNB,ATB,2,9,11391
300,Collingwood Magpies,H,8117,SCL,Lightning,complete,8,Sunshine Coast Lightning,Magpies,2775,8119,USC,2021-06-26T15:00:00+10:00,113910803,67,5,,True,5,,65,USC Stadium,2021-06-26T05:00:00Z,MNC,SCL,MNC,3,9,11391
900,Melbourne Vixens,H,8117,SCL,Lightning,complete,9,Sunshine Coast Lightning,Vixens,810,804,JCA,2021-07-03T15:00:00+10:00,113910903,52,4,,True,4,,55,John Cain Arena,2021-07-03T05:00:00Z,MVX,SCL,MVX,3,9,11391
900,West Coast Fever,H,806,NSW,Swifts,complete,9,NSW Swifts,Fever,810,810,JCA,2021-07-04T13:00:00+10:00,113910901,66,4,,True,4,,65,John Cain Arena,2021-07-04T03:00:00Z,WCF,NSW,WCF,1,9,11391
900,Collingwood Magpies,H,801,ATB,Thunderbirds,complete,9,Adelaide Thunderbirds,Magpies,812,8119,ETS,2021-07-04T14:30:00+09:30,113910904,62,4,,True,4,,54,Netball SA Stadium,2021-07-04T05:00:00Z,MNC,ATB,MNC,4,9,11391
900,GIANTS Netball,H,807,QFB,Firebirds,complete,9,Queensland Firebirds,GIANTS,810,8118,JCA,2021-07-04T17:00:00+10:00,113910902,63,4,,True,4,,52,John Cain Arena,2021-07-04T07:00:00Z,GNB,QFB,GNB,2,9,11391
900,NSW Swifts,H,804,MVX,Vixens,complete,10,Melbourne Vixens,Swifts,810,806,JCA,2021-07-10T15:00:00+10:00,113911001,48,4,,True,4,,62,John Cain Arena,2021-07-10T05:00:00Z,NSW,MVX,NSW,1,9,11391
900,Sunshine Coast Lightning,H,810,WCF,Fever,complete,10,West Coast Fever,Lightning,835,8117,RAC,2021-07-10T18:00:00+08:00,113911002,61,4,,True,4,,65,RAC Arena,2021-07-10T10:00:00Z,SCL,WCF,SCL,2,9,11391
900,Queensland Firebirds,H,801,ATB,Thunderbirds,complete,10,Adelaide Thunderbirds,Firebirds,812,807,ETS,2021-07-11T12:30:00+09:30,113911003,47,4,,True,4,,63,Netball SA Stadium,2021-07-11T03:00:00Z,QFB,ATB,QFB,3,9,11391
900,GIANTS Netball,H,8119,MNC,Magpies,complete,10,Collingwood Magpies,GIANTS,810,8118,JCA,2021-07-11T15:00:00+10:00,113911004,49,4,,True,4,,58,John Cain Arena,2021-07-11T05:00:00Z,GNB,MNC,GNB,4,9,11391
900,Collingwood Magpies,H,804,MVX,Vixens,complete,11,Melbourne Vixens,Magpies,812,8119,ETS,2021-07-17T12:30:00+09:30,113911101,48,4,,True,4,,52,Netball SA Stadium,2021-07-17T03:00:00Z,MNC,MVX,MNC,1,9,11391
900,GIANTS Netball,H,806,NSW,Swifts,complete,11,NSW Swifts,GIANTS,812,8118,ETS,2021-07-17T14:30:00+09:30,113911102,55,4,,True,4,,59,Netball SA Stadium,2021-07-17T05:00:00Z,GNB,NSW,GNB,2,9,11391
900,Adelaide Thunderbirds,H,810,WCF,Fever,complete,11,West Coast Fever,Thunderbirds,835,801,RAC,2021-07-17T18:00:00+08:00,113911103,69,4,,True,4,,44,RAC Arena,2021-07-17T10:00:00Z,ATB,WCF,ATB,3,9,11391
900,Sunshine Coast Lightning,H,807,QFB,Firebirds,complete,11,Queensland Firebirds,Lightning,3145,8117,NIS,2021-07-19T19:00:00+10:00,113911104,59,4,,True,4,,49,Nissan Arena,2021-07-19T09:00:00Z,SCL,QFB,SCL,4,9,11391
900,Melbourne Vixens,H,810,WCF,Fever,complete,12,West Coast Fever,Vixens,3145,804,NIS,2021-07-22T19:30:00+10:00,113911201,64,4,,True,4,,50,Nissan Arena,2021-07-22T09:30:00Z,MVX,WCF,MVX,1,9,11391
902,NSW Swifts,H,8119,MNC,Magpies,complete,12,Collingwood Magpies,Swifts,3145,806,NIS,2021-07-27T15:30:00+10:00,113911202,75,4,,True,4,,68,Nissan Arena,2021-07-27T05:30:00Z,NSW,MNC,NSW,2,9,11391
900,Queensland Firebirds,H,810,WCF,Fever,complete,12,West Coast Fever,Firebirds,3145,807,NIS,2021-07-27T18:30:00+10:00,113911203,79,4,,True,4,,69,Nissan Arena,2021-07-27T08:30:00Z,QFB,WCF,QFB,3,9,11391
900,Melbourne Vixens,H,8118,GNB,GIANTS,complete,12,GIANTS Netball,Vixens,3145,804,NIS,2021-07-28T15:30:00+10:00,113911204,54,4,,True,4,,45,Nissan Arena,2021-07-28T05:30:00Z,MVX,GNB,MVX,4,9,11391
900,Adelaide Thunderbirds,H,8117,SCL,Lightning,complete,12,Sunshine Coast Lightning,Thunderbirds,3145,801,NIS,2021-07-28T18:30:00+10:00,113911205,60,4,,True,4,,61,Nissan Arena,2021-07-28T08:30:00Z,ATB,SCL,ATB,5,9,11391
900,Collingwood Magpies,H,807,QFB,Firebirds,complete,13,Queensland Firebirds,Magpies,3145,8119,NIS,2021-07-29T18:00:00+10:00,113911301,59,4,,True,4,,66,Nissan Arena,2021-07-29T08:00:00Z,MNC,QFB,MNC,1,9,11391
900,Melbourne Vixens,H,801,ATB,Thunderbirds,complete,13,Adelaide Thunderbirds,Vixens,3145,804,NIS,2021-08-02T19:30:00+10:00,113911302,59,4,,True,4,,50,Nissan Arena,2021-08-02T09:30:00Z,MVX,ATB,MVX,2,9,11391
300,GIANTS Netball,H,8117,SCL,Lightning,complete,13,Sunshine Coast Lightning,GIANTS,3145,8118,NIS,2021-08-03T15:30:00+10:00,113911303,64,5,,True,5,,63,Nissan Arena,2021-08-03T05:30:00Z,GNB,SCL,GNB,3,9,11391
900,Collingwood Magpies,H,810,WCF,Fever,complete,13,West Coast Fever,Magpies,3145,8119,NIS,2021-08-03T18:30:00+10:00,113911304,75,4,,True,4,,55,Nissan Arena,2021-08-03T08:30:00Z,MNC,WCF,MNC,4,9,11391
900,Adelaide Thunderbirds,H,806,NSW,Swifts,complete,14,NSW Swifts,Thunderbirds,3145,801,NIS,2021-08-04T15:30:00+10:00,113911401,58,4,,True,4,,53,Nissan Arena,2021-08-04T05:30:00Z,ATB,NSW,ATB,1,9,11391
900,Queensland Firebirds,H,804,MVX,Vixens,complete,14,Melbourne Vixens,Firebirds,3145,807,NIS,2021-08-04T18:30:00+10:00,113911402,58,4,,True,4,,62,Nissan Arena,2021-08-04T08:30:00Z,QFB,MVX,QFB,2,9,11391
900,Sunshine Coast Lightning,H,806,NSW,Swifts,complete,14,NSW Swifts,Lightning,3145,8117,NIS,2021-08-07T12:30:00+10:00,113911403,69,4,,True,4,,64,Nissan Arena,2021-08-07T02:30:00Z,SCL,NSW,SCL,3,9,11391
900,GIANTS Netball,H,810,WCF,Fever,complete,14,West Coast Fever,GIANTS,3145,8118,NIS,2021-08-07T14:30:00+10:00,113911404,73,4,,True,4,,75,Nissan Arena,2021-08-07T04:30:00Z,GNB,WCF,GNB,4,9,11391
